lid,uid,createddt,changeddt,sdesc,ldesc,label,groupkey
1,994f54fe-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",COUNTRY_US,"United States of America","United States of America",COUNTRIES
2,994f582f-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",COUNTRY_AU,Australia,Australia,COUNTRIES
3,994f592e-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",COUNTRY_CA,Canada,Canada,COUNTRIES
4,994f59f3-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",COUNTRY_EN,England,England,COUNTRIES
5,994f5aaa-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",COUNTRY_ES,Spain,Spain,COUNTRIES
6,994f9bd9-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",REGION_AZ,Arizona,Arizona,COUNTRY_US
7,994f9e8d-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",REGION_NC,"North Carolina","North Carolina",COUNTRY_US
8,994f9f25-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",REGION_SC,"South Carolina","South Carolina",COUNTRY_US
9,994f9f90-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",REGION_OK,Oklahoma,Oklahoma,COUNTRY_US
10,994f9ffb-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",REGION_MO,Missouri,Missouri,COUNTRY_US
11,994fa05e-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",REGION_PA,Pennsylvania,Pennsylvania,COUNTRY_US
12,994fde14-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_OBJECT-IMAGE,"Image is used to store images inlcuding TIF, PNG, BMP, JPG, JEG, Gif and others",Image,MIME_OBJECT
13,994fdee6-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_OBJECT-DOCUMENT,"For DOucments such as PDF, Excel, Word, and other document types",Document,MIME_OBJECT
14,994fdf5e-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-VIDEO,"For Videos",Video,MIME_OBJECT
15,994fdfce-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-FILE,"Used for mimes of type files.  These are zips and other types of files that need to be tracked but not are catchalls",File,MIME_OBJECT
16,994fe042-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-CATCHALL,"Used for items that do not fall into a defiend Mime Type","Catch All",MIME_OBJECT
17,9950189d-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_OBJECT-IMAGE-TYPE-JPG,JPG,JPG,MIME_TYPE-IMAGE-TYPE
18,99501974-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-IMAGE-TYPE-JPEG,JPEG,JPEG,MIME_TYPE-IMAGE-TYPE
19,995019f5-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-IMAGE-TYPE-GIF,GIF,GIF,MIME_TYPE-IMAGE-TYPE
20,99501a6e-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-IMAGE-TYPE-TIF,TIF,TIF,MIME_TYPE-IMAGE-TYPE
21,99501aeb-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-IMAGE-TYPE-PNG,PNG,PNG,MIME_TYPE-IMAGE-TYPE
22,99501b6c-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-IMAGE-TYPE-BMP,BMP,BMP,MIME_TYPE-IMAGE-TYPE
23,99505828-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-IMAGE-CONFIG-ORIGINAL,Original,Original,MIME_TYPE-IMAGE-CONFIG
24,99505946-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-IMAGE-CONFIG-500X500,"500 X 500","500 X 500",MIME_TYPE-IMAGE-CONFIG
25,995059cc-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-IMAGE-CONFIG-100X100,"100 X 100","100 X 100",MIME_TYPE-IMAGE-CONFIG
26,99505a4e-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-IMAGE-CONFIG-80X80,"80 X 80","80 X 80",MIME_TYPE-IMAGE-CONFIG
27,9950937b-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-DOCUMENT-CONFIG-ORIGINAL,Original,Original,MIME_TYPE-DOCUMENT-CONFIG
28,9950cd6c-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-VIDEO-CONFIG-ORIGINAL,Original,Original,MIME_TYPE-VIDEO-CONFIG
29,995105d5-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-FILE-CONFIG-ORIGINAL,Original,Original,MIME_TYPE-FILE-CONFIG
30,99513c52-1a0b-11e5-ba0c-910358b06d12,"2015-06-23 20:55:33","2015-06-23 20:55:33",MIME_TYPE-CATCHALL-CONFIG-ORIGINAL,Original,Original,MIME_TYPE-CATCHALL-CONFIG
